Joshua Project People Group Data

ROL3,Language,Status,NbrPGICs,JPScale,LeastReached,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion
mfv,Mandjak,L,4,2,N,4,,2016,1968,Y,Y,,4,"Ethnic Religions"
aax,"Mandobo Atas",L,2,4,N,2,,,,N,N,,1,Christianity
bwp,"Mandobo Bawah",L,1,4,N,1,,,,N,N,,1,Christianity
jet,Manem,L,2,4,N,1,,,,N,N,,4,"Ethnic Religions"
zng,Mang,L,2,1,Y,1,,,,N,Y,,4,"Ethnic Religions"
mem,Mangala,N,,,N,0,,,,N,Y,,,
mrv,Mangareva,L,1,5,N,3,,,1908,N,N,,1,Christianity
mpc,Mangarrayi,N,,,N,0,,,,N,Y,,,
zns,Mangas,L,1,2,N,1,,,,N,Y,,4,"Ethnic Religions"
myj,Mangayat,N,,,N,0,,,,N,N,,,
mdj,Mangbetu,L,2,5,N,3,,,2006-2007,Y,Y,,1,Christianity
mdk,Mangbutu,L,1,5,N,0,,,,N,Y,,1,Christianity
mqy,Manggarai,L,1,3,N,4,,2013,Yes,N,N,761,1,Christianity
mge,Mango,L,1,5,N,4,,2007,1968,Y,N,,1,Christianity
mqc,Mangole,L,1,2,N,1,,,,N,N,,6,Islam
mbh,Mangseng,L,1,5,N,4,,1999,1991,N,Y,1122,1,Christianity
mom,Mangue,N,,,N,0,,,,N,N,,,
abd,Manide,L,1,4,N,2,,,,N,N,,1,Christianity
mku,"Maninka, Konyanka",L,2,1,Y,3,,,Yes,Y,Y,,6,Islam
msc,"Maninka, Sankaran",L,1,1,Y,3,,,2017,N,Y,msc,6,Islam
emk,"Maninkakan, Eastern",L,10,1,Y,4,,1932-1966,1931-1964,Y,Y,,6,Islam
mwk,"Maninkakan, Kita",L,1,1,Y,3,,,Yes,Y,N,,6,Islam
mlq,"Maninkakan, Western",L,6,1,Y,3,,,1997-2003,Y,Y,,6,Islam
mqp,Manipa,L,1,2,N,1,,,,N,N,,6,Islam
knf,Mankanya,L,3,2,N,4,,2014,2000-2005,Y,Y,1214,4,"Ethnic Religions"
nlm,Mankiyali,L,,,N,1,,,,N,N,,,
mju,Manna-Dora,N,,,N,0,,,,N,N,,,
mjv,Mannan,L,,,N,4,,2018,2012,N,Y,,,
msm,"Manobo, Agusan",L,2,4,N,4,,2011,1962-1995,Y,Y,979,4,"Ethnic Religions"
atd,"Manobo, Ata",L,1,4,N,4,,2000,1974-1981,N,Y,1003,4,"Ethnic Religions"
mta,"Manobo, Cotabato",L,2,2,N,4,,1988-2005,1964-1997,Y,Y,1316,4,"Ethnic Religions"
mbd,"Manobo, Dibabawon",L,1,4,N,4,,1978,1967,N,N,1326,4,"Ethnic Religions"
mbi,"Manobo, Ilianen",L,1,4,N,4,,1989,1961-1981,N,Y,1310,4,"Ethnic Religions"
mkx,"Manobo, Kinamiging",L,1,5,N,0,,,,N,N,,4,"Ethnic Religions"
mbt,"Manobo, Matigsalug",L,2,4,N,4,,2010,1972-2005,Y,Y,1002,4,"Ethnic Religions"
obo,"Manobo, Obo",L,1,4,N,4,,2011,1941-1999,Y,Y,425,4,"Ethnic Religions"
mqk,"Manobo, Rajah Kabunsuwan",L,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
mbs,"Manobo, Sarangani",L,1,5,N,4,,1982,1967-1985,Y,Y,1243,4,"Ethnic Religions"
mbb,"Manobo, Western Bukidnon",L,2,4,N,5,2016,1978-2003,1959-1965,Y,Y,928,4,"Ethnic Religions"
woo,Manombai,L,1,4,N,1,,,,N,N,,1,Christianity
msk,Mansaka,L,1,2,N,4,,1975,1959-1968,N,Y,1246,4,"Ethnic Religions"
mns,Mansi,L,1,1,Y,3,,,1868–2012,N,N,,4,"Ethnic Religions"
msw,Mansoanka,L,2,2,N,3,,,2013,Y,Y,,6,Islam
myg,Manta,L,1,3,N,1,,,,N,N,,1,Christianity
nty,Mantsi,L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
glv,Manx,N,,,N,5,1773,1767-1775,1748-1767,N,N,1366,,
mzj,Manya,L,2,1,Y,2,,,,N,Y,,6,Islam
mny,Manyawa,L,1,4,N,1,,,,N,N,,1,Christianity
mxc,Manyika,L,2,5,N,4,,1908,1903-1922,Y,Y,,1,Christianity
mmd,Maonan,L,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
mri,Maori,L,3,5,N,5,1858-1952,1837-1862,1833-1862,Y,Y,94,1,Christianity
mlh,Mape,L,1,5,N,4,,2008,Yes,N,N,1386,1,Christianity
mnm,Mapena,L,1,5,N,1,,,,N,Y,,1,Christianity
mpw,Mapidian,N,,,N,0,,,,N,Y,,,
mcg,Mapoyo,N,,,N,0,,,,N,N,,,
arn,Mapudungun,L,3,5,N,4,,1997-2011,1901-1930,Y,Y,520,1,Christianity
sjm,Mapun,L,2,1,Y,3,,,1979-1998,Y,Y,,6,Islam
mch,Maquiritari,L,2,3,N,4,,1970,1957-1968,N,Y,,1,Christianity
vmh,Maraghei,L,,,N,0,,,,N,Y,,,
mrs,Maragus,N,,,N,0,,,,N,N,,,
mrw,Maranao,L,1,1,Y,5,Yes,1981,1937-1967,Y,Y,,6,Islam
wax,Marangis,L,1,5,N,2,,,,N,N,,1,Christianity
zmr,Maranunggu,N,,,N,0,,,,N,N,,,
mgb,Mararit,L,3,1,Y,1,,,,N,Y,,6,Islam
mar,Marathi,L,680,1,Y,5,1821-2002,1811-1982,1807-1957,Y,Y,mar,5,Hinduism
mvr,Marau,L,1,4,N,1,,,,N,Y,,1,Christianity
mpg,Marba,L,1,5,N,5,1999,1978,1967-1986,Y,Y,855,1,Christianity
vmr,Marenje,L,1,4,N,2,,,,N,N,,1,Christianity
mvu,Marfa,L,1,4,N,1,,,,N,N,,6,Islam
mrt,"Marghi Central",L,1,5,N,4,,1987,1940-1961,Y,Y,,1,Christianity
mfm,"Marghi South",L,1,4,N,3,,,2013,Y,Y,,1,Christianity
hob,Mari,L,1,2,N,1,,,,N,N,,4,"Ethnic Religions"
mbx,Mari,L,1,5,N,1,,,,N,Y,,1,Christianity
mrj,"Mari, Hill",L,3,3,N,4,,1827,1821-2006,N,N,,1,Christianity
mhr,"Mari, Meadow",L,5,3,N,4,,1986-2007,1870-1999,Y,N,,1,Christianity
mds,Maria,L,1,5,N,1,,,,N,Y,,1,Christianity
mrr,Maria,L,3,1,Y,3,,,2017,Y,Y,,5,Hinduism
daq,"Maria, Dandami",L,4,1,Y,4,,2010,Yes,Y,Y,,5,Hinduism
mrc,Maricopa,N,1,4,N,0,,,,N,N,,1,Christianity
zmd,Maridan,N,,,N,0,,,,N,N,,,
zmj,Maridjabin,N,,,N,0,,,,N,N,,,
dad,Marik,L,1,5,N,4,,2011,1989-1997,N,Y,349,1,Christianity
zmm,Marimanindji,N,,,N,0,,,,N,N,,,
mrz,Marind,L,1,4,N,3,,,Yes,N,Y,,1,Christianity
bpv,"Marind, Bian",L,1,4,N,0,,,,N,Y,,1,Christianity
mbw,Maring,L,1,5,N,3,,,1974-1979,N,Y,,1,Christianity
zmt,Maringarr,N,,,N,0,,,,N,N,,,
mrb,Marino,L,1,5,N,1,,,,N,N,,1,Christianity
mqi,Mariri,L,1,1,Y,1,,,,N,N,,6,Islam
nsr,"Maritime Sign Language",N,,,N,0,,,,N,N,,,
zmy,Mariyedi,N,,,N,0,,,,N,N,,,
rkm,Marka,L,2,4,N,3,,,1987,N,Y,,4,"Ethnic Religions"
enb,Markweeta,L,1,5,N,4,,2008,1998-2000,Y,Y,,4,"Ethnic Religions"
rmz,Marma,L,8,2,N,3,,,Yes,N,Y,,2,Buddhism
mvo,Marovo,L,1,5,N,5,1956,1941,1931,N,Y,,1,Christianity
mrq,"Marquesan, North",L,2,5,N,4,,1995,1880-1995,N,Y,,1,Christianity
mqm,"Marquesan, South",L,1,5,N,3,,,1858-1905,N,N,,1,Christianity
mec,Marra,N,,,N,3,,,1988,N,N,,,
xru,Marriammu,N,,,N,0,,,,N,N,,,
mfr,Marrithiyel,N,,,N,0,,,,N,N,,,
mah,Marshallese,L,4,5,N,5,1982,1885-1977,1863-1983,Y,Y,,1,Christianity
zmg,"Marti Ke",N,,,N,0,,,,N,N,,,
mpj,"Martu Wangka",L,1,5,N,4,,Yes,1981-1999,N,Y,,1,Christianity
vma,Martuyhunira,N,,,N,0,,,,N,N,,,
mzr,Marubo,L,1,2,N,0,,,,N,Y,,4,"Ethnic Religions"
mve,Marwari,L,206,1,Y,4,,1821,1969-1991,Y,Y,,6,Islam
rwr,Marwari,L,455,1,Y,4,,1820-1821,1815-1867,Y,Y,,5,Hinduism
myx,Masaaba,L,2,5,N,5,2016,1977-2011,1904-1910,Y,Y,,1,Christianity
mls,Masalit,L,2,1,Y,3,,,2013-2016,N,Y,,6,Islam
mcn,Masana,L,2,5,N,5,2003,1950-1955,1934-1985,Y,Y,557,1,Christianity
msb,Masbatenyo,L,1,5,N,4,,1993,1972-1991,Y,N,1222,1,Christianity
mxz,"Masela, Central",N,1,4,N,0,,,,N,N,,1,Christianity
vme,"Masela, East",N,1,4,N,0,,,,N,N,,1,Christianity
mss,"Masela, West",L,1,3,N,0,,,,N,N,,1,Christianity
cuj,"Mashco Piro",L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
jms,Mashi,L,1,5,N,1,,,,N,Y,,4,"Ethnic Religions"
mho,Mashi,L,2,5,N,4,,Yes,2013,Y,Y,,4,"Ethnic Religions"
ism,Masimasi,N,,,N,0,,,,N,N,,,
bnf,Masiwang,L,2,4,N,1,,,,N,N,,1,Christianity
klv,Maskelynes,L,1,5,N,4,,2013,1906-2009,Y,Y,1247,1,Christianity
msv,Maslam,L,2,1,Y,3,,,2002,N,N,,6,Islam
mes,Masmaje,L,1,1,Y,1,,,,N,N,,6,Islam
mdg,Massalat,N,,,N,0,,,,N,N,,,
mvs,Massep,N,,,N,0,,,,N,N,,,
mtn,Matagalpa,N,,,N,0,,,,N,N,,,
mfh,Matal,L,1,4,N,4,,1989,Yes,Y,Y,,1,Christianity
xmt,Matbat,L,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
mgv,Matengo,L,2,5,N,3,,,Yes,Y,N,,1,Christianity
mqe,Matepi,L,1,5,N,1,,,,N,N,,1,Christianity
mzo,Matipuhy,N,,,N,0,,,,N,N,,,
mpq,Matis,L,1,1,Y,2,,,,N,N,,4,"Ethnic Religions"
ocu,"Matlatzinca, Atzingo",N,1,5,N,0,,,,N,N,,1,Christianity
mat,"Matlatzinca, San Francisco",N,1,4,N,0,,,,N,N,,1,Christianity
met,Mato,L,1,5,N,4,,Yes,2017,Y,N,,1,Christianity
mcf,Matses,L,2,2,N,4,,1993-2008,1976-1988,Y,Y,631,4,"Ethnic Religions"
mcb,Matsigenka,L,1,3,N,4,,1976-2008,1956-2011,Y,N,633,1,Christianity
xnz,Mattokki,L,1,1,Y,3,,,1912,N,Y,,6,Islam
mvb,Mattole,N,,,N,0,,,,N,N,,,
mjk,Matukar,L,1,5,N,1,,,,N,N,,1,Christianity
mgw,Matumbi,L,1,1,Y,3,,,Yes,Y,Y,,6,Islam
mph,Maung,L,1,5,N,3,,,1960-2016,N,Y,1376,1,Christianity
lsy,"Mauritian Sign Language",L,1,,N,1,,,,N,N,,5,Hinduism
mhl,Mauwake,L,2,5,N,4,,1998,1986-1991,N,Y,1405,1,Christianity
mcw,Mawa,L,1,1,Y,2,,,,N,Y,,6,Islam
mjj,Mawak,N,1,5,N,0,,,,N,N,,1,Christianity
mcz,Mawan,N,1,5,N,0,,,,N,N,,1,Christianity
mzx,Mawayana,N,,,N,0,,,,N,N,,,
mke,Mawchi,L,10,1,Y,4,,1989,1976-1978,Y,Y,,5,Hinduism
mgk,Mawes,L,1,4,N,1,,,,N,Y,,1,Christianity
mbl,Maxakali,L,1,5,N,4,,1981,1968,Y,Y,612,1,Christianity
mop,"Maya, Mopan",L,2,5,N,4,,1979–2012,1965,N,Y,630,1,Christianity
yua,"Maya, Yucatec",L,5,5,N,5,1992,1961-1977,1865-1985,Y,Y,324,1,Christianity
yan,Mayangna,L,3,4,N,5,1999,1999,Yes,N,Y,285,1,Christianity
myc,Mayeka,N,2,4,N,0,,,,N,N,,1,Christianity
mfy,Mayo,N,1,5,N,4,,2014,1962-2000,N,Y,1348,1,Christianity
mdm,Mayogo,L,1,5,N,4,,2015,2000-2008,Y,Y,,1,Christianity
dkx,Mazagway-Hidi,L,1,1,Y,3,,,1972,Y,Y,,6,Islam
maz,"Mazahua, Central",L,1,4,N,4,,1970-2007,1949-1987,Y,Y,846,1,Christianity
mmc,"Mazahua, Michoacan",L,1,4,N,3,,,1987,N,Y,,1,Christianity
mzn,Mazandarani,L,1,1,Y,0,,,,N,Y,,6,Islam
vmy,"Mazatec, Ayautla",L,1,4,N,4,,2009,2004,N,Y,655,1,Christianity
maq,"Mazatec, Chiquihuitlan",L,1,4,N,4,,1991,1975-1987,N,Y,735,1,Christianity
mau,"Mazatec, Huautla",L,1,4,N,4,,1961–2009,1946-1958,Y,Y,834,1,Christianity
mzi,"Mazatec, Ixcatlan",L,1,3,N,4,,2015,2012,N,Y,,1,Christianity
maj,"Mazatec, Jalapa de Diaz",L,1,5,N,4,,2015,1968-2012,N,Y,854,1,Christianity
vmz,"Mazatec, Mazatlan",L,1,4,N,2,,,,N,Y,,1,Christianity
pbm,"Mazatec, Puebla and Northeastern",L,1,4,N,1,,,,N,N,,1,Christianity
maa,"Mazatec, San Jeronimo Tecoatl",L,1,4,N,4,,2012,1995-2012,N,Y,838,1,Christianity
vmp,"Mazatec, Soyaltepec",L,1,3,N,2,,,,N,Y,,1,Christianity
mfc,Mba,L,1,4,N,2,,,,N,Y,,1,Christianity
mdp,Mbala,L,1,5,N,3,,,1931-1968,Y,Y,,1,Christianity
lnb,Mbalanhu,L,1,2,N,1,,,,N,N,,4,"Ethnic Religions"
zmz,Mbandja,L,3,5,N,5,2014,1998,1986,N,Y,,1,Christianity
mxg,Mbangala,L,1,2,N,3,,,Yes,N,N,,4,"Ethnic Religions"
mgn,Mbangi,L,1,5,N,1,,,,N,N,,1,Christianity
zmn,Mbangwe,L,2,3,N,1,,,,N,N,,1,Christianity
mpk,Mbara,N,1,4,N,0,,,,N,N,,4,"Ethnic Religions"
bau,Mbat,L,1,4,N,3,,,1923,N,Y,,1,Christianity
mdn,Mbati,L,2,4,N,3,,,1936-1999,N,Y,,4,"Ethnic Religions"
gwa,Mbato,L,1,4,N,2,,,,N,Y,,1,Christianity
myb,Mbay,L,4,5,N,5,1980,1943,1932,N,Y,444,1,Christianity
mfo,Mbe,L,1,4,N,3,,,1992,Y,Y,,1,Christianity
mql,Mbelime,L,2,4,N,3,,,2014,Y,Y,,4,"Ethnic Religions"
mfn,"Mbembe, Cross River",L,1,5,N,4,,1985,1975,Y,Y,,1,Christianity
nza,"Mbembe, Tigon",L,2,4,N,4,,2018,2001-2008,Y,Y,,4,"Ethnic Religions"
mdt,Mbere,L,2,4,N,2,,,,N,Y,,1,Christianity
zms,Mbesa,L,1,4,N,1,,,,N,Y,,1,Christianity
mbo,Mbo,L,1,4,N,2,,,,N,Y,,1,Christianity
zmw,Mbo,L,1,4,N,1,,,,N,N,,1,Christianity
mtk,Mbo',L,1,3,N,1,,,,N,Y,,1,Christianity
moi,Mboi,L,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
mdu,Mboko,L,1,5,N,2,,,,N,Y,,1,Christianity
mdq,Mbole,L,1,5,N,2,,,,N,Y,,1,Christianity
xmb,Mbonga,L,2,2,N,1,,,,N,N,,4,"Ethnic Religions"
bgu,Mbongno,L,2,4,N,1,,,,N,N,,6,Islam
gai,Mbore,L,1,5,N,4,,2017,1992-2006,N,Y,gai,1,Christianity
mdw,Mbosi,L,1,4,N,3,,,Yes,Y,Y,,4,"Ethnic Religions"
mxo,Mbowe,L,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
mka,Mbre,N,,,N,0,,,,N,N,,,
xmd,Mbudum,L,1,3,N,2,,,,N,N,,1,Christianity
mhd,Mbugu,L,1,4,N,0,,,,N,N,,6,Islam
mgz,Mbugwe,L,1,4,N,3,,,2016-2017,N,N,,4,"Ethnic Religions"
mqb,Mbuko,L,1,5,N,4,,2010,2001-2005,Y,N,456,1,Christianity
mhw,Mbukushu,L,4,4,N,4,,1986,1976-1986,Y,Y,,1,Christianity
mna,Mbula,L,1,5,N,4,,1997,1989-2000,N,Y,1340,1,Christianity
mbu,Mbula-Bwazza,L,1,5,N,4,,2016,2008,Y,Y,mbu,4,"Ethnic Religions"
mlb,Mbule,L,1,2,N,1,,,,N,N,,4,"Ethnic Religions"
mbv,Mbulungish,L,1,1,Y,2,,,,N,Y,,6,Islam
mdd,Mbum,L,3,5,N,4,,1965,1936-1965,N,Y,,6,Islam
mck,Mbunda,L,2,5,N,5,2006,1983,1919-2000,N,Y,627,1,Christianity
mgy,Mbunga,L,1,4,N,2,,,,N,N,,4,"Ethnic Religions"
bbt,Mburku,L,1,1,Y,1,,,,N,Y,,4,"Ethnic Religions"
mfu,Mbwela,L,1,5,N,1,,,,N,N,,1,Christianity
mym,Me'en,L,3,5,N,3,,,2008–2010,Y,Y,,1,Christianity
tpx,"Me'phaa, Acatepec",L,2,3,N,3,,,2015,Y,Y,,1,Christianity
tpc,"Me'phaa, Azoyu",N,1,3,N,0,,,,N,N,,1,Christianity
tcf,"Me'phaa, Malinaltepec",L,1,3,N,3,,,1994–2015,Y,Y,,1,Christianity
tpl,"Me'phaa, Tlacoapa",L,1,3,N,4,,1975,1953-1977,Y,Y,,1,Christianity
mjm,Medebur,L,1,5,N,1,,,,N,N,,1,Christianity
mue,"Media Lengua",L,1,2,N,0,,,,N,N,,4,"Ethnic Religions"
byv,Medumba,L,1,4,N,5,1992,1967,1948-1960,Y,Y,,1,Christianity
mfj,Mefele,L,1,2,N,2,,,,N,Y,,4,"Ethnic Religions"
mef,Megam,L,1,3,N,1,,,,N,Y,,1,Christianity
nux,Mehek,L,1,5,N,1,,,,N,Y,,1,Christianity
mmh,Mehinaku,L,1,2,N,1,,,,N,Y,,4,"Ethnic Religions"
gdq,Mehri,L,5,1,Y,3,,,1902,N,N,,6,Islam
mni,Meitei,L,57,1,Y,5,1984-2019,1827-1996,1820-1995,Y,Y,,5,Hinduism
mek,Mekeo,L,1,5,N,4,,1998,1992-1995,Y,Y,1336,1,Christianity
mvk,Mekmek,L,1,4,N,1,,,,N,N,,1,Christianity
msf,Mekwei,N,1,4,N,0,,,,N,Y,,1,Christianity
hkn,Mel-Khaonh,L,2,1,Y,1,,,,N,N,,4,"Ethnic Religions"
mel,"Melanau, Central",L,2,4,N,3,,,1980,N,N,,6,Islam
dro,"Melanau, Daro-Matu",L,1,4,N,1,,,,N,N,,6,Islam
kxn,"Melanau, Kanowit-Tanjong",L,1,1,Y,1,,,,N,Y,,4,"Ethnic Religions"
sdx,"Melanau, Sibu",L,1,1,Y,0,,,,N,N,,6,Islam
mxe,Mele-Fila,L,1,5,N,4,,1993,Yes,Y,Y,,1,Christianity
mfx,Melo,L,1,5,N,4,,2019,Yes,N,N,,1,Christianity
med,Melpa,L,1,5,N,4,,1965-1995,1956-1991,Y,Y,1000,1,Christianity
mby,Memoni,L,,,N,0,,,,N,N,,,
mfd,Mendankwe-Nkwen,L,1,4,N,2,,,,N,Y,,1,Christianity
men,Mende,L,7,4,N,5,1959,1956-2003,1867-1954,Y,Y,,6,Islam
sim,Mende,L,1,5,N,4,,2005,2000,N,N,1345,1,Christianity
xmg,Mengaka,L,1,4,N,2,,,,N,Y,,1,Christianity
mee,Mengen,L,1,5,N,4,,2003-2018,1997,N,N,1031,1,Christianity
mct,Mengisa,L,1,4,N,2,,,,N,Y,,1,Christianity
tnr,Menik,L,1,1,Y,4,,2015,1997,N,Y,,4,"Ethnic Religions"
mea,Menka,L,1,4,N,2,,,,N,Y,,1,Christianity
mez,Menominee,N,1,4,N,0,,,,N,Y,,1,Christianity
mwv,Mentawai,L,1,4,N,5,2015,1987-1996,1911-1955,N,Y,,1,Christianity
mcr,Menya,L,2,5,N,4,,2017,1995-2008,N,Y,,1,Christianity
mvx,Meoswar,L,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
mnu,Mer,L,1,4,N,1,,,,N,Y,,1,Christianity
mxm,Meramera,L,1,5,N,3,,,2014,N,Y,,1,Christianity
lmb,Merei,L,1,5,N,3,,,2011–2014,N,N,,4,"Ethnic Religions"
meq,Merey,L,1,4,N,4,,2012,1986-2006,Y,N,1168,6,Islam
ulk,"Meriam Mir",L,1,5,N,3,,,1879-1994,N,Y,,1,Christianity
wry,Merwari,L,266,1,Y,3,,,Yes,Y,Y,,5,Hinduism
iyo,Mesaka,L,1,4,N,2,,,,N,Y,,1,Christianity
mci,Mesem,L,1,5,N,4,,2012,1996-2001,N,N,,1,Christianity
sac,Meskwaki,N,1,4,N,3,,,1986-2009,N,Y,,1,Christianity
zim,Mesme,L,1,5,N,4,,1995,1991,N,Y,,1,Christianity
mvz,Mesqan,L,1,4,N,0,,,,N,Y,,6,Islam
mgo,Meta',L,1,4,N,4,,2014,2005,N,Y,,1,Christianity
keh,Mevembet,L,1,4,N,2,,,,N,N,,1,Christianity
emg,"Mewahang, Eastern",L,2,1,Y,2,,,,N,Y,,8,"Other / Small"
raf,"Mewahang, Western",L,2,1,Y,1,,,,N,Y,,8,"Other / Small"
mtr,Mewari,L,283,1,Y,4,,2010,1815,Y,Y,,5,Hinduism
wtm,Mewati,L,4,1,Y,0,,,,N,Y,,5,Hinduism
mfs,"Mexican Sign Language",L,1,,N,3,,,2013,Y,N,,1,Christianity
mej,Meyah,L,1,4,N,4,,1997,1990-2005,N,Y,,1,Christianity
zmf,Mfinu,L,1,5,N,0,,,,N,N,,1,Christianity
nfu,Mfumte,L,1,5,N,2,,,,N,Y,,1,Christianity
gmz,Mgbolizhia,L,1,4,N,3,,,1980–2008,Y,Y,,1,Christianity
mic,Mi'kmaq,L,2,5,N,4,,1874-1998,1853-1980,N,Y,802,1,Christianity
mia,Miami,N,,,N,0,,,,N,N,,,
mpt,Mian,L,1,5,N,4,,1986,1975-1977,N,Y,1167,1,Christianity
pla,Miani,L,1,5,N,3,,,1982-1988,N,N,,1,Christianity
hmc,"Miao, Central Huishui",L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
hmm,"Miao, Central Mashan",L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
cqd,"Miao, Chuanqiandian Cluster",L,7,1,Y,5,2017,Yes,Yes,N,Y,,4,"Ethnic Religions"
hme,"Miao, Eastern Huishui",L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
hmq,"Miao, Eastern Qiandong",L,1,1,Y,3,,,1928,N,N,,4,"Ethnic Religions"
muq,"Miao, Eastern Xiangxi",L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
hrm,"Miao, Horned",L,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
hmd,"Miao, Large Flowery",L,3,5,N,5,2009,1917-1936,1907-2009,Y,Y,,1,Christianity
hml,"Miao, Luopohe",L,2,1,Y,1,,,,N,Y,,4,"Ethnic Religions"
huj,"Miao, Northern Guiyang",L,2,1,Y,1,,,,N,N,,4,"Ethnic Religions"
hmi,"Miao, Northern Huishui",L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
hmp,"Miao, Northern Mashan",L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
hea,"Miao, Northern Qiandong",L,3,1,Y,4,,1934-2018,1928-1937,N,Y,,4,"Ethnic Religions"
sfm,"Miao, Small Flowery",L,1,5,N,0,,,,N,Y,,1,Christianity
hmy,"Miao, Southern Guiyang",L,2,4,N,1,,,,N,N,,4,"Ethnic Religions"
hma,"Miao, Southern Mashan",L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
hms,"Miao, Southern Qiandong",L,1,1,Y,4,,2009,Yes,N,Y,,4,"Ethnic Religions"
hmg,"Miao, Southwestern Guiyang",L,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
hmh,"Miao, Southwestern Huishui",L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
hmw,"Miao, Western Mashan",L,1,1,Y,1,,,,N,Y,,4,"Ethnic Religions"
mmr,"Miao, Western Xiangxi",L,1,1,Y,0,,,,N,Y,,4,"Ethnic Religions"
crg,Michif,N,2,4,N,0,,,,N,N,,1,Christianity
mei,Midob,L,1,1,Y,1,,,,N,N,,6,Islam
mmy,Migaama,L,1,1,Y,3,,,2002-2013,N,Y,,6,Islam
mpp,Migabac,L,1,5,N,4,,2019,2010,N,N,870,1,Christianity
klm,Migum,L,1,5,N,1,,,,N,N,,1,Christianity
sjl,Miji,L,1,3,N,3,,,2015,N,Y,,9,Unknown
mxj,Miju-Mishmi,L,3,3,N,3,,,Yes,Y,Y,,5,Hinduism
mik,Mikasuki,L,1,4,N,3,,,1980-1985,N,N,,1,Christianity
ymh,Mili,L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
mlj,Miltu,N,1,4,N,0,,,,N,N,,6,Islam
hna,Mina,L,1,2,N,2,,,,N,Y,,6,Islam
min,Minangkabau,L,5,1,Y,4,,1996,1980-1990,Y,Y,402,6,Islam
mcv,Minanibai,L,1,5,N,1,,,,N,N,,1,Christianity
mvn,Minaveha,L,1,5,N,4,,2008,1993-1995,N,Y,1261,1,Christianity
drc,Minderico,N,,,N,0,,,,N,N,,,
mpn,Mindiri,L,1,5,N,0,,,,N,Y,,1,Christianity
mko,"Mingang Doso",L,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
xmf,Mingrelian,L,1,3,N,3,,,Yes,Y,Y,,1,Christianity
aai,"Miniafia Oyan",L,1,5,N,4,,2009,1990,Y,Y,407,1,Christianity
wii,Minidien,N,1,5,N,0,,,,N,N,,1,Christianity
bxf,Minigir,L,1,5,N,2,,,,N,N,,1,Christianity
mqq,Minokok,L,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
mnq,Minriq,L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
mzt,Mintil,N,1,1,Y,0,,,,N,N,,4,"Ethnic Religions"
yiq,Miqie,L,1,1,Y,0,,,,N,Y,,4,"Ethnic Religions"
mwl,Mirandese,L,1,3,N,3,,,2011,N,N,mwl,1,Christianity
zrg,Mirgan,L,1,1,Y,3,,,Yes,Y,Y,,5,Hinduism
mmv,Miriti,N,,,N,0,,,,N,N,,,
mep,Miriwoong,N,1,4,N,0,,,,N,Y,,1,Christianity
rsm,"Miriwoong Sign Language",N,,,N,0,,,,N,N,,,
mjs,Miship,L,1,2,N,1,,,,N,Y,,4,"Ethnic Religions"
mpx,Misima-Panaeati,L,1,5,N,4,,1947-1998,1894-2010,N,Y,mpx,1,Christianity
mrg,Mising,L,41,1,Y,4,,2001,Yes,Y,Y,1078,5,Hinduism
miq,Miskito,L,2,4,N,5,1999,1905-1975,1889-1958,Y,Y,433,1,Christianity
zmq,Mituku,L,1,4,N,2,,,,N,Y,,1,Christianity
mpo,Miu,L,1,5,N,4,,2003,1992-1998,N,N,,1,Christianity
csm,"Miwok, Central Sierra",N,,,N,0,,,,N,N,,,
csi,"Miwok, Coast",N,,,N,0,,,,N,N,,,
lmw,"Miwok, Lake",N,,,N,0,,,,N,N,,,
nsq,"Miwok, Northern Sierra",N,,,N,0,,,,N,N,,,
pmw,"Miwok, Plains",N,,,N,0,,,,N,N,,,
skd,"Miwok, Southern Sierra",N,,,N,0,,,,N,Y,,,
mco,"Mixe, Coatlan",L,1,5,N,4,,1976,1961-1971,Y,Y,826,1,Christianity
mir,"Mixe, Isthmus",L,1,5,N,4,,1988,1962-1969,N,Y,740,1,Christianity
